Company,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
Tata Power Company Limited,03-Nov-22,227.8,229.45,225.75,227.35,227.6690161,340370,4851,77491703,121318,35.64,3.7,-0.45
Tata Power Company Limited,02-Nov-22,229.6,231.9,227.85,229,229.2294704,2005710,20413,459767841,1242664,61.96,4.05,-0.6
Tata Power Company Limited,01-Nov-22,226.05,231.35,226.05,230.6,228.4910568,836506,8455,191134140,327514,39.15,5.3,4.55
Tata Power Company Limited,31-Oct-22,229.65,229.65,224.25,225.95,225.9924294,976283,9850,220632567,285603,29.25,5.4,-3.7
Tata Power Company Limited,28-Oct-22,227.4,227.4,222.5,225,225.1728058,1659395,19082,373650628,589410,35.52,4.9,-2.4
Tata Power Company Limited,27-Oct-22,221.05,226.95,221.05,225.9,223.6868026,1567781,19879,350691919,794486,50.68,5.9,4.85
Tata Power Company Limited,25-Oct-22,218.7,222.9,217.6,220.7,219.8834741,2388430,14016,525176286,1805366,75.59,5.3,2
Tata Power Company Limited,24-Oct-22,220.6,221,218.5,219,219.8419046,402934,18039,88581778,,,2.5,-1.6
Tata Power Company Limited,21-Oct-22,221,222.15,217.5,218.6,219.8637957,375715,5479,82606126,101188,26.93,4.65,-2.4
Tata Power Company Limited,20-Oct-22,216.3,221.35,216.1,220.6,218.7986946,915097,12788,200222029,376568,41.15,5.25,4.3
Tata Power Company Limited,19-Oct-22,221.45,221.7,217.55,218.45,219.7408518,943954,16155,207425256,340715,36.09,4.15,-3
Tata Power Company Limited,18-Oct-22,219.65,221.95,218.75,220.7,220.1984758,506752,5585,111586018,130885,25.83,3.2,1.05
Tata Power Company Limited,17-Oct-22,211.75,218.45,211.75,217.9,216.2838999,931987,17463,201573783,363700,39.02,6.7,6.15
Tata Power Company Limited,14-Oct-22,219.5,220.6,215.6,215.9,218.3817026,392853,5244,85791907,111328,28.34,5,-3.6
Tata Power Company Limited,13-Oct-22,217.95,218.95,213.5,216.1,215.9015776,1121259,19355,242081587,371703,33.15,5.45,-1.85
Tata Power Company Limited,12-Oct-22,217.8,219.35,215.05,217.95,217.2289211,910768,16852,197845150,271285,29.79,4.3,0.15
Tata Power Company Limited,11-Oct-22,220.3,222.25,216.6,217.15,220.2196376,2304569,5923,507511350,2019865,87.65,5.65,-3.15
Tata Power Company Limited,10-Oct-22,219.55,220.8,217.05,220.3,218.9753022,1018916,21704,223117439,381512,37.44,3.75,0.75
Tata Power Company Limited,07-Oct-22,221.3,222.9,218.85,222.55,220.8833636,1042282,16533,230222754,339657,32.59,4.05,1.25
Tata Power Company Limited,06-Oct-22,221.3,223.25,220.55,221.7,221.9450007,517734,7142,114908473,154719,29.88,2.7,0.4
Tata Power Company Limited,04-Oct-22,216.5,219.95,216.2,219,218.1059566,526697,7673,114875753,185902,35.3,3.75,2.5
Tata Power Company Limited,03-Oct-22,216.5,218.05,211.95,213.25,215.3603044,1317633,27783,283765844,399007,30.28,6.1,-3.25
Tata Power Company Limited,30-Sep-22,211.75,217,210.2,216.5,213.8661066,1503876,26391,321628105,462680,30.77,6.8,4.75
Tata Power Company Limited,29-Sep-22,215.8,218,210.5,212.25,213.1034165,903927,13581,192629932,374690,41.45,7.5,-3.55
Tata Power Company Limited,28-Sep-22,215.35,216.85,212.95,213.85,215.5057857,606925,9614,130795849,202427,33.35,3.9,-1.5
Tata Power Company Limited,27-Sep-22,217.05,219.9,214.4,217.45,217.0540945,1741324,31556,377961504,459090,26.36,5.5,0.4
Tata Power Company Limited,26-Sep-22,222.6,223.45,212.35,215.55,216.5736278,3119657,74172,675635434,,,11.1,-7.05
Tata Power Company Limited,23-Sep-22,231.65,232.45,223.6,224.6,227.0526624,1544309,38873,350639470,663295,42.95,8.85,-7.05
Tata Power Company Limited,22-Sep-22,229.5,233.6,227.3,231.65,230.4397008,1442058,25728,332307414,426244,29.56,6.3,2.15
Tata Power Company Limited,21-Sep-22,235.1,236.6,230.3,231.2,233.2387489,678311,9488,158208409,169308,24.96,6.3,-3.9
Tata Power Company Limited,20-Sep-22,235.3,237.5,234.5,235.15,236.1766418,480747,7317,113541212,124191,25.83,3,-0.15
Tata Power Company Limited,19-Sep-22,236,238,231.8,232.25,235.2976236,2730402,29923,642457102,1837283,67.29,6.2,-3.75
Tata Power Company Limited,16-Sep-22,247.15,247.85,232.7,236.7,240.1394509,2072306,27808,497642425,787714,38.01,15.15,-10.45
Tata Power Company Limited,15-Sep-22,242,246.8,240,245.25,242.7647973,962944,12025,233768905,354819,36.85,6.8,3.25
Tata Power Company Limited,14-Sep-22,236.8,244.1,236.6,241.45,240.6300287,1219819,18730,293525081,557638,45.71,7.5,4.65
Tata Power Company Limited,13-Sep-22,243,244.9,240.1,241,242.3254725,706539,9564,171212397,285484,40.41,4.8,-2
Tata Power Company Limited,12-Sep-22,243.2,245.2,241.6,242.75,242.9389102,1780313,21822,432507300,1047511,58.84,3.6,-0.45
Tata Power Company Limited,09-Sep-22,246.05,246.95,241.15,242.35,243.8886399,1440094,22979,351222567,,,5.8,-3.7
Tata Power Company Limited,08-Sep-22,249.45,250,243.45,244.9,245.9820628,1693576,23631,416589318,714205,42.17,6.55,-4.55
Tata Power Company Limited,07-Sep-22,247,251,245.05,246.95,247.9464876,2943376,38283,729799741,1296566,44.05,5.95,-0.05
Tata Power Company Limited,06-Sep-22,237.3,248,237.3,247.35,244.6935311,2845405,29547,696252197,1025919,36.06,10.7,10.05
Tata Power Company Limited,05-Sep-22,235.1,238.4,235.1,236.4,236.676649,733426,10027,173584808,389224,53.07,3.3,1.3
Tata Power Company Limited,02-Sep-22,238.1,239.5,233.3,235,237.4312479,949709,11337,225490593,,,6.2,-3.1
Tata Power Company Limited,01-Sep-22,235.8,240.15,234.45,237.1,237.2142689,847729,11930,201093415,320055,37.75,5.7,1.3
Tata Power Company Limited,30-Aug-22,233.7,237.5,233.7,236.9,235.8444285,1817511,25217,428649843,1169773,64.36,3.8,3.2
Tata Power Company Limited,29-Aug-22,226,233.7,226,232.7,230.7364608,1632019,24121,376566288,743241,45.54,7.7,6.7
Tata Power Company Limited,26-Aug-22,230.2,236.35,230.2,235.1,233.6410954,772261,9359,180431906,257704,33.37,6.15,4.9
Tata Power Company Limited,25-Aug-22,230.2,233.25,228.6,229.2,231.3765974,1112570,11381,257422661,655634,58.93,4.65,-1
Tata Power Company Limited,24-Aug-22,231.6,232.8,227.5,229.5,230.1341953,1610190,21102,370559780,714039,44.34,5.3,-2.1
Tata Power Company Limited,23-Aug-22,222.55,232.05,221.55,231.5,227.8857581,2061346,27411,469751396,765506,37.14,10.5,8.95
Tata Power Company Limited,22-Aug-22,232.3,232.5,223,224.2,227.3104638,2674547,46168,607952519,1091475,40.81,9.5,-8.1
Tata Power Company Limited,19-Aug-22,238.4,241.85,231.85,232.7,236.2004425,2351892,33605,555517931,1022783,43.49,10,-5.7
Tata Power Company Limited,18-Aug-22,237.15,239.7,236,238,237.43552,1101807,13694,261608118,,,3.7,0.85
Tata Power Company Limited,17-Aug-22,238.05,241.7,236.55,237.2,239.1305684,2717855,34844,649922211,1371577,50.47,5.15,-0.85
Tata Power Company Limited,16-Aug-22,232.4,237.45,231.35,236,234.0033984,2126597,30581,497630925,1151252,54.14,6.1,3.6
Tata Power Company Limited,12-Aug-22,229.5,235.5,228.65,232.4,233.1354706,2598852,29627,605884584,1503592,57.86,6.85,2.9
Tata Power Company Limited,11-Aug-22,230.45,231.4,228.35,229.45,229.870002,458084,5497,105299770,129206,28.21,3.05,-1
Tata Power Company Limited,10-Aug-22,229.15,230.3,227.2,228.45,228.5019448,720894,8495,164725681,276929,38.41,3.1,-0.7
Tata Power Company Limited,08-Aug-22,231.6,232.8,227.7,228.3,230.0851597,2019546,28246,464667564,1298908,64.32,5.1,-3.3
Tata Power Company Limited,05-Aug-22,228.95,233.1,227.7,232.1,230.5045491,1866857,23412,430319031,896015,48,5.4,3.15
Tata Power Company Limited,04-Aug-22,233.95,234.95,225.3,227.7,229.6119237,923339,10450,212009644,300415,32.54,9.65,-6.25
Tata Power Company Limited,03-Aug-22,232.3,237.4,231.05,232.45,233.5589677,1272535,15784,297211961,366084,28.77,6.35,0.15
Tata Power Company Limited,02-Aug-22,231,233.5,227.35,232.6,230.3597527,1118471,11917,257650703,371007,33.17,6.15,1.6
Tata Power Company Limited,01-Aug-22,221.5,231.15,221.5,230.35,225.0084111,4090207,32366,920330978,3007240,73.52,9.65,8.85
Tata Power Company Limited,29-Jul-22,219.95,222.6,218.8,221.9,220.7145493,1895119,26920,418280336,798516,42.14,3.8,1.95
Tata Power Company Limited,28-Jul-22,220.85,221.45,216.9,218.15,218.9923597,1046168,11693,229102799,266626,25.49,4.55,-2.7
Tata Power Company Limited,27-Jul-22,221.9,223.9,215.5,217.95,218.6426507,2853922,48088,623989071,1016839,35.63,8.4,-3.95
Tata Power Company Limited,26-Jul-22,233,233.5,225.25,226.15,229.265672,1171832,17814,268660851,521066,44.47,8.25,-6.85
